feature,gain,split
mkt_ret_20,66.48046016693115,7
atr_14,55.33018112182617,4
mkt_dist_sma20,54.42117977142334,4
mkt_rv_20,50.031259536743164,3
pv20,45.279189586639404,5
px_slope10,40.31811046600342,5
gk20,33.668519020080566,3
px_slope5,33.14816999435425,4
sma5_over_20,33.081509590148926,4
mkt_ret_5,32.51525068283081,3
gap_fill,27.291990756988525,3
px_r2_10,26.458919048309326,3
overnight_ret,25.40466022491455,2
vol_ratio20,23.67473077774048,3
drv20,21.838239669799805,3
px_r2_5,11.815699577331543,1
dist_rh20,11.759000301361084,2
rs20,11.631799697875977,1
gap_norm,8.644969940185547,1
rv20,7.565579891204834,1
dist_sma20,0.0,0
vol_z60,0.0,0
intraday_ret,0.0,0
