outdir,n_folds,acc_rate_med,Gate_Calmar_med,Rand_Calmar_med,All_Calmar_med,dCalmar_med,win_rate,tau_lo,tau_hi,thetas,mc,min_trades,dd_eps
reports/sweep_gate/a90_tau4050_t0000010002_mc1_m0_eps0001,11,0.09302325581395349,2.2055588517064053,5.42594042760854,5.865140868532984,0.13124909557325082,0.2727272727272727,40,50,"[0.0, 0.001, 0.002]",1,0,0.001
reports/sweep_gate/a90_tau4050_t0000010002_mc1_m0_eps0002,11,0.09302325581395349,2.1696858192294326,5.293779343212943,5.785250566089819,0.13130672080918981,0.2727272727272727,40,50,"[0.0, 0.001, 0.002]",1,0,0.002
reports/sweep_gate/a90_tau4050_t0000010002_mc1_m10_eps0001,11,0.09302325581395349,2.2055588517064053,5.42594042760854,5.865140868532984,0.13124909557325082,0.2727272727272727,40,50,"[0.0, 0.001, 0.002]",1,10,0.001
reports/sweep_gate/a90_tau4050_t0000010002_mc1_m10_eps0002,11,0.09302325581395349,2.1696858192294326,5.293779343212943,5.785250566089819,0.13130672080918981,0.2727272727272727,40,50,"[0.0, 0.001, 0.002]",1,10,0.002
reports/sweep_gate/a90_tau4050_t00010002_mc1_m0_eps0001,11,0.09496124031007752,9.822458663754194,3.7662376102023862,3.2901969133115117,0.33482447114330227,0.2727272727272727,40,50,"[0.001, 0.002]",1,0,0.001
reports/sweep_gate/a90_tau4050_t00010002_mc1_m0_eps0002,11,0.09496124031007752,9.158945991957479,3.694444165556871,3.213199653510411,0.25251875764766984,0.2727272727272727,40,50,"[0.001, 0.002]",1,0,0.002
reports/sweep_gate/a90_tau4050_t00010002_mc1_m10_eps0001,11,0.09496124031007752,9.822458663754194,3.7662376102023862,3.2901969133115117,0.33482447114330227,0.2727272727272727,40,50,"[0.001, 0.002]",1,10,0.001
reports/sweep_gate/a90_tau4050_t00010002_mc1_m10_eps0002,11,0.09496124031007752,9.158945991957479,3.694444165556871,3.213199653510411,0.25251875764766984,0.2727272727272727,40,50,"[0.001, 0.002]",1,10,0.002
reports/sweep_gate/a90_tau4050_t0001_mc1_m0_eps0001,11,0.08512166651701536,7.556483617222829,8.767250686053394,3.835360200034843,-0.24739469398654113,0.18181818181818182,40,50,[0.001],1,0,0.001
reports/sweep_gate/a90_tau4050_t0001_mc1_m0_eps0002,11,0.08512166651701536,7.239247956411848,8.435706430080492,3.7528484244222153,-0.2427584626778566,0.18181818181818182,40,50,[0.001],1,0,0.002
