fold,alpha,qbuf,tau_val,theta,delta,Gate_CAGR,Gate_MDD,Gate_Calmar,Rand_CAGR,Rand_MDD,Rand_Calmar,All_CAGR,All_MDD,All_Calmar,Gate_CAGR_CI_low,Gate_CAGR_CI_high,Gate_MDD_CI_low,Gate_MDD_CI_high,accepted,skipped,days,status,mu_final,phi_final,db_iters,Gate_Calmar_eps,Rand_Calmar_eps,All_Calmar_eps
1,0.9,0.0,0.041538970200111866,0.0,0.0,0.18445614782098718,0.013088662836380993,14.092818351793467,0.20588766720376528,0.04307070782241196,4.780224835233172,0.21007654938338716,0.0430707078224114,4.877480775323501,-0.06051081562601006,0.032875532270325546,0.03610855098827439,0.08205188402591553,14.0,191.0,259.0,ok,3.121350337186277,0.0,2.0,13.09252339722888,4.671757668005097,4.766806792164938
2,0.9,0.0,0.04568946731885431,0.012786577114409562,0.0,-0.006627975474416181,0.006365799543573636,-1.0411850748751923,-0.04245816803405755,0.04080818516579732,-1.040432645106775,0.08499201295750636,0.06152573711765319,1.3814058463855468,-0.026273803753788072,0.0,0.0,0.01914919348805799,1.0,3.0,242.0,ok,11.120770542354139,0.0,2.0,-0.8998310957564442,-1.015546785053755,1.3593124507685357
3,0.9,0.0,0.05589643285301989,0.013217950018122423,0.0,0.06747569891280025,0.030806622780924164,2.1902984755142336,0.07773754037821479,0.04995406440538919,1.556180489086054,-0.04034421224190676,0.0954358573461237,-0.42273641547104956,-0.0015369241967359447,0.034331118009296446,0.021676431685063086,0.05805394855547909,9.0,58.0,258.0,ok,1647.4573975229089,0.0,2.0,2.121435506609913,1.5256396380814095,-0.41835281348829556
4,0.9,0.0,0.03835479610294944,0.0,0.0,0.19322011119939608,0.012076523945975137,15.999646261107483,0.26734997711173336,0.03905550777237188,6.845384744961849,0.25298735137499273,0.03905550777237188,6.4776356986442165,-0.012568273284117845,0.042419267946469545,0.033189506417757475,0.077098891523115,24.0,388.0,248.0,ok,1.103162928135372,0.0,2.0,14.77610655535624,6.674487279777711,6.315919219216332
5,0.9,0.0,,,,,,,,,,,,,,,,,,,,no_feasible_on_val,,,,,,
6,0.9,0.0,0.040489288410659,0.001,0.0,0.2652722890336756,0.03332585613907657,7.959954214728422,0.46800760218158266,0.03603032448648125,12.989269701336756,0.4333835282463585,0.05478079466218899,7.911231133444841,-0.01850556049342487,0.07426792505114557,0.040960181213483736,0.09288585197218137,18.0,281.0,236.0,ok,5.349093268932624,0.0,2.0,7.7280603857011885,12.638495845545165,7.769403983413085
7,0.9,0.0,0.032465005258825286,0.00907616800721819,0.0,0.20484259923363135,0.026708936400874905,7.669440525790511,0.47027736442755774,0.04569475703819681,10.29171386193053,0.5216199933296961,0.03444709971325899,15.14263893540274,-0.02047171854579146,0.04478154846161514,0.052774523223068054,0.09619038648407803,10.0,35.0,261.0,ok,24.412984009560894,0.0,2.0,7.392654711465702,10.07130980557123,14.715449149555784
8,0.9,0.0,0.05234584680371724,0.01647861765271227,0.0,0.055469899829533764,0.053685473061517164,1.0332385404515643,0.1823731853263626,0.0735008250824859,2.481239974132199,0.41029409107367587,0.08015561368646318,5.118719353563717,-0.016882051021201067,0.05448763797774703,0.034823193003863606,0.07625824331162545,16.0,59.0,242.0,ok,14.728743263042535,0.0,3.0,1.0143443354167234,2.447935108429235,5.055646460376816
9,0.9,0.0,0.05221211344397804,0.0,0.0,-0.06458052104422862,0.06756452078990438,-0.9558348122536875,-0.01601687514923955,0.07163676099714222,-0.22358458040667845,0.030188085838711576,0.08622503116405322,0.35010814645314775,-0.03646874615820433,0.08048268311612433,0.021475705711822612,0.09437780960788267,6.0,16.0,259.0,ok,10.116726860379677,0.0,2.0,-0.941894150213876,-0.22050646159552337,0.3460942969677327
10,0.9,0.0,0.06049421890886765,0.013733942620319625,0.0,0.0,0.0,inf,0.0,0.0,inf,0.7994234352674681,0.01995684567466738,40.057604708655546,0.0,0.0,0.0,0.0,0.0,0.0,203.0,ok,-0.42352154004681297,0.0,2.0,0.0,0.0,38.14617178928843
11,0.9,0.0,0.03928784908265838,0.0,0.0,0.13339741397929283,0.05948236431146925,2.242638057908728,0.2444582334184351,0.052016306313207195,4.699646144546906,0.18183953068172753,0.07141492883576805,2.5462397519137974,-0.0025189211845352997,0.10631172307170565,0.03977459477384581,0.07454097972585615,16.0,113.0,258.0,ok,31.582336896646236,0.0,2.0,2.2055588517064093,4.61100084895082,2.511077944910044
