fold,alpha,qbuf,status,tau_val,theta,Gate_CAGR,Gate_MDD,Gate_Calmar,Rand_CAGR,Rand_MDD,Rand_Calmar,All_CAGR,All_MDD,All_Calmar,Gate_CAGR_CI_low,Gate_CAGR_CI_high,Gate_MDD_CI_low,Gate_MDD_CI_high
1,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,
1,0.9,0.002,no_feasible_on_val,,,,,,,,,,,,,,,
1,0.95,0.0,,0.06167048223928981,0.0,-0.007979873007934568,0.05881771533551006,-0.1356712507858474,0.035240400814883,0.09269799620100616,0.380163566194762,-0.04193139353979103,0.14208865797745296,-0.29510725301131935,-0.01392332487415704,0.025207797059897796,0.03268021622678485,0.06527785655820253
1,0.95,0.002,,0.06367048223928981,0.0,-0.007979873007934568,0.05881771533551006,-0.1356712507858474,0.035240400814883,0.09269799620100616,0.380163566194762,-0.04193139353979103,0.14208865797745296,-0.29510725301131935,-0.01392332487415704,0.025207797059897796,0.03268021622678485,0.06527785655820253
2,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,
2,0.9,0.002,no_feasible_on_val,,,,,,,,,,,,,,,
2,0.95,0.0,no_feasible_on_val,,,,,,,,,,,,,,,
2,0.95,0.002,no_feasible_on_val,,,,,,,,,,,,,,,
3,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,
3,0.9,0.002,no_feasible_on_val,,,,,,,,,,,,,,,
3,0.95,0.0,no_feasible_on_val,,,,,,,,,,,,,,,
3,0.95,0.002,no_feasible_on_val,,,,,,,,,,,,,,,
4,0.9,0.0,no_feasible_on_val,,,,,,,,,,,,,,,
4,0.9,0.002,no_feasible_on_val,,,,,,,,,,,,,,,
4,0.95,0.0,,0.04587300398530154,0.002,0.0009769220682811497,0.058582735520845364,0.016675938048907494,0.010712888256202202,0.08432802256616145,0.1270382955772165,0.010712888256202202,0.09946435812220722,0.10770579993126558,-0.012568273284117845,0.05174633387273009,0.032419658545567345,0.06915530727372236
4,0.95,0.002,,0.04787300398530154,0.002,0.0009769220682811497,0.058582735520845364,0.016675938048907494,0.010712888256202202,0.08432802256616145,0.1270382955772165,0.010712888256202202,0.09946435812220722,0.10770579993126558,-0.012568273284117845,0.05174633387273009,0.032419658545567345,0.06915530727372236
5,0.9,0.0,,0.021737038667608115,0.0,-0.015390645907845668,0.04340953105713585,-0.3545453160410422,-0.02271739695411734,0.10890912485785154,-0.20859039115196404,-0.027133755909985346,0.11509518955141851,-0.23575056451741108,-0.03347611397416994,0.030331095118603102,0.020128846594447802,0.051501795544090956
5,0.9,0.002,,0.023737038667608117,0.0,-0.015390645907845668,0.04340953105713585,-0.3545453160410422,-0.02271739695411734,0.10890912485785154,-0.20859039115196404,-0.027133755909985346,0.11509518955141851,-0.23575056451741108,-0.03347611397416994,0.030331095118603102,0.020128846594447802,0.051501795544090956
5,0.95,0.0,,0.03221186814939617,0.0,-0.01163707493695576,0.053747391412781065,-0.21651422759446662,-0.01901952296749132,0.0796420802537432,-0.23881248338685124,-0.027133755909985346,0.11509518955141851,-0.23575056451741108,-0.029383852037137906,0.03225582620731844,0.035632955749324575,0.060426206055945286
5,0.95,0.002,,0.03421186814939617,0.0,-0.01163707493695576,0.053747391412781065,-0.21651422759446662,-0.01901952296749132,0.0796420802537432,-0.23881248338685124,-0.027133755909985346,0.11509518955141851,-0.23575056451741108,-0.029383852037137906,0.03225582620731844,0.035632955749324575,0.060426206055945286
